Date,Symbol,Quantity,Value
1345,XLB,-1,-51.99
1352,XLF,1,23.45
1354,XLF,-1,-23.54
1355,XLF,1,23.45
1359,XLF,-1,-23.84
1373,XLF,-1,-24.52
1374,XLF,1,24.69
1376,XLF,-1,-25.03
1378,XLF,1,24.88
1379,XLF,-1,-25.05
1381,XLF,1,24.8
1382,XLF,-1,-24.88
1384,XLF,1,24.92
1391,XLF,-1,-25.22
1392,XLF,1,25.05
1395,XLF,-1,-25.09
1403,XLF,1,24.83
1404,XLF,-1,-24.73
1408,XLF,1,24.61
1409,XLF,-1,-24.62
1413,XLP,1,54.49
1419,XLP,-1,-54.97
1420,XLP,1,55.05
1420,XLF,1,24.24
1421,XLP,-1,-55.28
1421,XLF,-1,-24.3
1422,XLF,1,23.88
1423,XLF,-1,-24.1
1430,XLP,1,55.13
1436,XLF,-1,-25.7
1437,XLF,1,25.74
1438,XLF,-1,-25.86
1441,XLF,1,26.05
1442,XLF,-1,-26.32
1444,XLF,1,26.25
1445,XLF,-1,-26.37
1446,XLF,1,26.32
1449,XLF,-1,-26.3
1450,XLF,1,26.17
1451,XLF,-1,-26.31
1452,XLF,1,26.33
1453,XLF,-1,-26.64
1465,XLF,1,26.38
1479,XLF,-1,-26.88
1510,XLF,-1,-29.23
1511,XLF,1,29.15
1512,XLF,-1,-29.37
1521,XLF,1,29.66
1522,XLF,-1,-29.74
1524,XLP,1,56.47
1524,XLF,1,29.36
1525,XLF,1,27.88
1526,XLP,-1,-55.02
1526,XLF,-2,-56.78
1528,XLP,1,53.6
1528,XLF,2,54.32
1529,XLP,-1,-53.71
1529,XLF,-2,-55.36
1532,XLF,-1,-28.86
1533,XLF,1,29.02
1535,XLP,1,54.34
1538,XLP,-1,-54.35
1538,XLF,-1,-29.12
1540,XLP,1,53.97
1540,XLF,1,29.28
1542,XLP,-1,-53.29
1542,XLF,1,28.37
1543,XLF,-1,-28.44
1548,XLF,-1,-29.7
1549,XLF,1,29.6
1551,XLF,1,28.94
1552,XLF,-1,-28.95
1554,XLF,1,28.66
1555,XLF,-1,-28.73
1556,XLF,1,28.72
1557,XLF,1,27.66
1558,XLF,1,26.82
1559,XLF,-2,-55.38
1560,XLF,2,54.3
1561,XLP,-1,-52.27
1561,XLF,-1,-27.2
1563,XLP,1,51.34
1563,XLF,2,53.92
1564,XLP,-1,-52.02
1564,XLF,-2,-54.66
1565,XLF,1,27.62
1567,XLF,1,27.17
1568,XLF,-1,-27.32
1570,XLF,1,27.4
1571,XLF,-1,-27.88
1572,XLF,1,27.46
1581,XLP,-1,-50.5
1583,XLF,1,27.45
1584,XLF,-1,-27.46
1585,XLF,1,27.15
1587,XLF,-1,-27.27
1588,XLU,1,51.24
1594,XLF,1,28.19
1595,XLP,-1,-49.68
1595,XLF,-1,-28.24
1596,XLF,1,28.18
1598,XLB,-1,-60.18
1603,XLF,2,53.84
1603,XLB,1,57.99
1604,XLF,-2,-54.82
1604,XLB,-1,-58.67
1605,XLF,1,27.18
1606,XLF,-1,-27.48
1608,XLF,1,27.45
1608,XLU,1,49.55
1609,XLF,-1,-27.95
1611,XLP,-1,-50.83
1624,XLF,1,26.36
1625,XLF,-1,-26.59
1628,XLF,1,26.48
1629,XLF,-1,-26.54
1629,XLU,-1,-52.76
1631,XLF,-1,-27.28
1631,XLU,1,51.53
